ID,Count
18288,31.270266415852962
18289,22.074542183544708
18290,19.07627673285903
18291,15.318096495867017
18292,9.367606045600628
18293,8.695777868361349
18294,8.695777868361349
18295,9.078570272127424
18296,17.471385990250624
18297,18.495121750508126
18298,33.31758266759989
18299,32.22886585998056
18300,31.937788816043163
18301,25.176136001481005
18302,25.14029918217563
18303,25.14029918217563
18304,25.14029918217563
18305,25.166475399896306
18306,25.10536757152967
18307,27.548129780197776
18308,25.172820717153485
18309,23.784873817472413
18310,23.766466408672972
18311,23.766466408672972
18312,35.19932022329733
18313,26.313167704642368
18314,23.314902253956667
18315,19.55672201696469
18316,14.689407457133278
18317,13.372897348721512
18318,13.372897348721512
18319,13.755689752487594
18320,22.43754461990667
18321,23.128331073101567
18322,21.865244798353157
18323,20.776527990733825
18324,19.776118046502646
18325,14.107760587736204
18326,14.071923768430834
18327,14.071923768430834
18328,14.071923768430834
18329,14.098099986151512
18330,14.654705510545343
18331,18.811722848844607
18332,20.002575750636353
18333,19.545943373789665
18334,19.527535964990232
18335,19.527535964990232
18336,35.19932022329733
18337,26.313167704642368
18338,23.314902253956667
18339,19.55672201696469
18340,14.689407457133278
18341,13.372897348721512
18342,13.372897348721512
18343,13.755689752487594
18344,22.43754461990667
18345,23.128331073101567
18346,21.865244798353157
18347,20.776527990733825
18348,19.776118046502646
18349,14.107760587736204
18350,14.071923768430834
18351,14.071923768430834
18352,14.071923768430834
18353,14.098099986151512
18354,14.654705510545343
18355,18.811722848844607
18356,20.002575750636353
18357,19.545943373789665
18358,19.527535964990232
18359,19.527535964990232
18360,31.169425577840666
18361,22.283273059185674
18362,19.285007608499978
18363,15.526827371507977
18364,10.65951281167657
18365,9.987684634437283
18366,9.987684634437283
18367,10.370477038203365
18368,19.052331905622463
18369,20.07606766587995
18370,36.72918683364713
18371,35.64047002602779
18372,35.3493929820904
18373,28.587740167528224
18374,28.55190334822285
18375,28.55190334822285
18376,28.55190334822285
18377,28.578079565943526
18378,28.51697173757688
18379,30.959733946245002
18380,28.584424883200697
18381,27.196477983519625
18382,27.178070574720184
18383,27.178070574720184
18384,31.270266415852962
18385,22.074542183544708
18386,19.07627673285903
18387,15.318096495867017
18388,9.367606045600628
18389,8.695777868361349
18390,8.695777868361349
18391,9.078570272127424
18392,17.471385990250624
18393,18.495121750508126
18394,33.31758266759989
18395,32.22886585998056
18396,31.937788816043163
18397,25.176136001481005
18398,25.14029918217563
18399,25.14029918217563
18400,25.14029918217563
18401,25.166475399896306
18402,25.10536757152967
18403,27.548129780197776
18404,25.172820717153485
18405,23.784873817472413
18406,23.766466408672972
18407,23.766466408672972
18408,28.297391234898114
18409,19.10166700258995
18410,16.857375735959856
18411,13.099195498967852
18412,7.148705048701443
18413,6.476876871462166
18414,6.476876871462166
18415,6.859669275228249
